
 Lista de Imóveis da Caixa;;Data de geração:;22/04/2025;;;;;;;
 1444407883900 ;GO ;LUZIANIA ;JARDIM SION ;QUADRA 28, N. SN, LT 01A AV GUILHERME DE ALMEIDA ;70.459,56;142.000,00;50.39;Casa, 0.00 de área total, 85.05 de área privativa, 224.50 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407883900
 8444408151820 ;GO ;LUZIANIA ;JARDIM EUROPA ;RUA 02  CS 1 QD 35 LT 9, N. 1, QD35 LT 09 ;74.429,11;150.000,00;50.39;Casa, 0.00 de área total, 70.00 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408151820
 1444403286851 ;GO ;LUZIANIA ;MANSOES DE RECREIO ESTRELA DALVA II ;QUADRA 65, N. SN, LT 20, AVENIDA 01 ;73.932,92;149.000,00;50.39;Terreno, 0.00 de área total, 0.00 de área privativa, 2895.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403286851
 8444405478462 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA IX ;RUA 185, N. SN, CS 01, LT 01, QD 364 ;71.451,95;144.000,00;50.39;Casa, 0.00 de área total, 55.24 de área privativa, 115.83 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405478462
 8444402353960 ;GO ;LUZIANIA ;CHACARAS MARAJOARA ;RUA BAURU, N. 3, CS03 QD09 CHAC7 ;47.213,34;95.000,00;50.31;Casa, 0.00 de área total, 55.73 de área privativa, 149.47 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402353960
 8444403912181 ;GO ;LUZIANIA ;CHACARAS MARAJOARA ;RUA BAURU, N. SN, CS 18 ;48.704,28;98.000,00;50.31;Casa, 0.00 de área total, 105.00 de área privativa, 113.91 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403912181
 8444427306176 ;GO ;LUZIANIA ;MANSOES DE RECREIO ESTRELA DALVA IV ;AVENIDA DAS PALMEIRAS, N. SN, CS 06 LT 10 QD 126 ;49.698,25;100.000,00;50.31;Casa, 0.00 de área total, 48.29 de área privativa, 81.22 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427306176
 8787706472121 ;GO ;LUZIANIA ;CENTRO ;RUA RAQUEL PIMENTEL, N. SN, Apto 302, BL G  QD 09 ;64.649,29;130.000,00;50.27;Apartamento, 0.00 de área total, 46.23 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706472121
 8444420481096 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA III ;AVENIDA ARI QUINTELA, N. SN, CS 02 ;66.141,20;133.000,00;50.27;Casa, 0.00 de área total, 68.04 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420481096
 8444403403520 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA IX ;RUA 73, N. 0, CS 02, LT 01, QD 242 ;62.660,08;126.000,00;50.27;Casa, 0.00 de área total, 48.18 de área privativa, 87.74 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403403520
 8444421164949 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA IX ;RUA 36 (ESQUINA COM RUA 10), N. 0, Apto 10, PAVIMENTO TERREO ;67.633,11;136.000,00;50.27;Apartamento, 0.00 de área total, 54.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421164949
 8444423027604 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA IX ;RUA 225, N. SN, Apto 101, TERREO LT 08 QD 113 ;67.135,80;135.000,00;50.27;Apartamento, 0.00 de área total, 54.37 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423027604
 8444425374581 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA IX ;RUA 182, N. 0, LT 19, Q 348 ;67.135,80;135.000,00;50.27;Casa, 0.00 de área total, 81.38 de área privativa, 180.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425374581
 8444425868576 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA IX ;QUADRA 211, N. SN, Apto 103, LT 05 -  RUA 146 ;64.649,29;130.000,00;50.27;Apartamento, 0.00 de área total, 54.56 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425868576
 8555516359595 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA IX ;QUADRA 55, N. SN, CS 05  LT N ;63.654,69;128.000,00;50.27;Casa, 0.00 de área total, 58.24 de área privativa, 118.00 de área do terreno,  2 qto(s), WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555516359595
 8787706621909 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA IX ;RUA 50, N. SN, Apto 302, PAV02 VG N 06 QD 65 LT 65 ;67.135,80;135.000,00;50.27;Apartamento, 0.00 de área total, 60.76 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706621909
 8444410411605 ;GO ;LUZIANIA ;JARDIM ZULEIKA ;RUA CACONDE, N. 0, QD 19, LT 08, CS 02 ;65.146,59;131.000,00;50.27;Casa, 0.00 de área total, 60.06 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410411605
 8444405340096 ;GO ;LUZIANIA ;PARQUE ALVORADA I ;QUADRA 154, N. SN, CS 01 LT 32 RUA 22 ;64.649,29;130.000,00;50.27;Casa, 0.00 de área total, 54.65 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405340096
 8787705696808 ;GO ;LUZIANIA ;LOTEAMENTO RAQUEL PIMENTEL ;RUA RP5, N. SN, Apto 404, BL A ;63.654,69;128.000,00;50.27;Apartamento, 0.00 de área total, 46.23 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705696808
 8787707157114 ;GO ;LUZIANIA ;LOTEAMENTO RAQUEL PIMENTEL ;QUADRA 8, N. SN, Apto 401, BL C LT 01 RUA RP5 ;64.649,29;130.000,00;50.27;Apartamento, 0.00 de área total, 46.23 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707157114
 8444417444185 ;GO ;LUZIANIA ;PARQUE INDUSTRIAL MINGONE ;RUA 01 Q QUADRA 22, N. SN, Apto 202, LT C ;70.402,24;140.000,00;49.72;Apartamento, 0.00 de área total, 68.15 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417444185
 8555518336266 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA VIII ;RUA 48, N. SN, LT 02  QD 93 ;72.916,61;145.000,00;49.72;Casa, 0.00 de área total, 63.96 de área privativa, 325.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555518336266
 8787700885483 ;GO ;LUZIANIA ;CIDADE OSFAYA ;RUA TAREK, N. 0, Apto 303, QUADRA 20  BLOCO C ;71.407,99;142.000,00;49.72;Apartamento, 0.00 de área total, 53.22 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700885483
 8444400634121 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA VII ;RUA 5, N. 4, QD29 LT30 ;73.922,36;147.000,00;49.72;Casa, 0.00 de área total, 63.00 de área privativa, 173.66 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444400634121
 8444415570515 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA IX ;RUA 86, N. 0, Apto 402, 3PAV QD260 LT14 VG 8 ;69.899,37;139.000,00;49.72;Apartamento, 0.00 de área total, 60.08 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415570515
 8444418179965 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA IX ;RUA 67, N. 0, QD 93, CS 01 ;70.402,24;140.000,00;49.72;Casa, 0.00 de área total, 63.72 de área privativa, 180.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444418179965
 8444420682547 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA IX ;RUA 235, N. 0, Apto 201, LT 01, QD 99 ;70.172,18;139.542,49;49.72;Apartamento, 0.00 de área total, 64.37 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420682547
 8444424485789 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA IX ;QUADRA 59, N. SN, Apto 102, QD 59  LT 12 ;71.910,86;143.000,00;49.72;Apartamento, 0.00 de área total, 66.43 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424485789
 8444426431988 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA IX ;RUA 30, N. 0, Apto 301, 2 PAV QD 73 LT 32A1 ;75.078,97;149.300,00;49.72;Apartamento, 0.00 de área total, 61.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444426431988
 8444410102297 ;GO ;LUZIANIA ;JARDIM ZULEIKA ;RUA CACONDE, N. SN, QD 19, LT 09, CS 01, GLEBA A ;76.436,73;152.000,00;49.72;Casa, 0.00 de área total, 60.06 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410102297
 8444426476400 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA II ;RUA MANUEL BANDEIRA, N. 1, LT 11 QD 124 CS01 ;74.435,35;148.020,12;49.72;Casa, 0.00 de área total, 59.86 de área privativa, 143.92 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444426476400
 8444414279698 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA I ;RUA CIRO DOS ANJOS, N. SN, Apto 201, QD 48 LT 4B ;74.928,10;149.000,00;49.72;Apartamento, 0.00 de área total, 50.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414279698
 8444423654021 ;GO ;LUZIANIA ;VERA CRUZ ;QUADRA 4, N. SN, RUA PERNAMBUCO ;75.430,98;150.000,00;49.72;Casa, 0.00 de área total, 71.40 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423654021
 8787704311902 ;GO ;LUZIANIA ;LOTEAMENTO RAQUEL PIMENTEL ;QUADRA 13, N. SN, Apto 104, BL F ;77.442,47;154.000,00;49.72;Apartamento, 0.00 de área total, 46.23 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704311902
 8444415941408 ;GO ;LUZIANIA ;CIDADE JARDIM MARILIA ;RUA QUADRA F5, N. 0, LOTE 08 ;48.990,91;97.000,00;49.50;Casa, 0.00 de área total, 51.13 de área privativa, 360.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415941408
 8444408449943 ;GO ;LUZIANIA ;CHACARAS MARAJOARA ;RUA LEME, N. SN, QD 07, LT 11, CS 09 ;50.506,10;100.000,00;49.50;Casa, 0.00 de área total, 55.91 de área privativa, 117.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408449943
 8555513480199 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA X ;AVENIDA 02, N. S/N, CS 1, LT 19, QD 563 ;73.271,11;145.000,00;49.47;Casa, 0.00 de área total, 56.36 de área privativa, 166.13 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555513480199
 8444423497112 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA X ;QUADRA 488, N. SN, CS 01 LT 20 RUA 346 ;101.097,23;200.000,00;49.46;Casa, 0.00 de área total, 92.74 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423497112
 8444426644884 ;GO ;LUZIANIA ;SETOR MANDU II ;RUA 6, N. SN, Apto 102, LT 13 QD 23 ;85.560,99;168.000,00;49.08;Apartamento, 0.00 de área total, 57.68 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444426644884
 8444401206956 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA IX ;QUADRA 363, N. SN, CS 02, LT 09, RUA 187 ;87.088,86;171.000,00;49.08;Casa, 0.00 de área total, 55.71 de área privativa, 180.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401206956
 8444418837342 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA IX ;RUA 97, N. SN, Apto 2, LT 14 QD 151 ;84.542,40;166.000,00;49.08;Apartamento, 0.00 de área total, 72.19 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444418837342
 8444416094229 ;GO ;LUZIANIA ;JARDIM ZULEIKA ;RUA SEM DENOMINACAO, N. 0, CS 01  GLEBA A, LT 1C ;79.449,49;156.000,00;49.08;Casa, 0.00 de área total, 60.91 de área privativa, 165.34 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416094229
 8555513735650 ;GO ;LUZIANIA ;CIDADE JARDIM MARILIA ;QUADRA H1, N. SN, LT 03C ;43.927,73;86.000,00;48.93;Casa, 0.00 de área total, 51.13 de área privativa, 168.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555513735650
 8444420894730 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA II ;RUA RAQUEL DE QUEIROZ, N. 0, CASA 3B LT 03 QD 115 ;75.305,17;147.000,00;48.78;Casa, 0.00 de área total, 60.08 de área privativa, 234.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420894730
 1444404542231 ;GO ;LUZIANIA ;PARQUE ALVORADA II ;RUA 70, N. SN, LT 08  QD 261 ;117.829,47;230.000,00;48.77;Terreno, 0.00 de área total, 0.00 de área privativa, 1683.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444404542231
 8444405691530 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA IX ;RUA 185, N. SN, CS 03   LT 01  QD 364 ;54.864,12;107.000,00;48.73;Casa, 0.00 de área total, 55.24 de área privativa, 115.83 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405691530
 8555512573657 ;GO ;LUZIANIA ;PARQUE INDUSTRIAL MINGONE ;RUA 17, N. SN, CS 02 LT Q QD 120 ;53.999,76;105.000,00;48.58;Casa, 0.00 de área total, 55.00 de área privativa, 192.50 de área do terreno,  2 qto(s), WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555512573657
 8787702879090 ;GO ;LUZIANIA ;CENTRO ;RUA RAQUEL PIMENTEL, N. SN, Apto 402, BL H QD 12 ;56.571,18;110.000,00;48.58;Apartamento, 0.00 de área total, 46.23 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702879090
 8444427145172 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA IX ;QUADRA 240, N. SN, Apto 103, QD 240 LT 19 VG 103 R 191 ;57.053,06;110.936,99;48.58;Apartamento, 0.00 de área total, 54.56 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427145172
 8444403513872 ;GO ;LUZIANIA ;PARQUE ALVORADA I ;QUADRA 53, N. SN, CS 02 LT 33 QD 53 ;57.599,74;112.000,00;48.58;Casa, 0.00 de área total, 60.56 de área privativa, 360.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403513872
 8787706225477 ;GO ;LUZIANIA ;LOTEAMENTO RAQUEL PIMENTEL ;QUADRA 9, N. 0, Apto 404, LT 01 BL 09 ;54.514,05;106.000,00;48.58;Apartamento, 0.00 de área total, 46.23 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706225477
 8444405055669 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA IV ;RUA JOAO AUGUSTO DE MORAIS, N. SN, LT 15A QD 340 ;60.181,88;117.000,00;48.57;Casa, 0.00 de área total, 60.71 de área privativa, 212.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405055669
 8444406618004 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA II ;RUA CARLOS JOSE DA ROCHA, N. SN, CS 01, QD 125, LT 01A ;59.153,13;115.000,00;48.57;Casa, 0.00 de área total, 57.61 de área privativa, 143.75 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406618004
 8444406077771 ;GO ;LUZIANIA ;PARQUE ALVORADA II ;RUA 55, N. SN, CS 02, QD 184, LT 10, VG 02 ;62.753,76;122.000,00;48.57;Casa, 0.00 de área total, 64.57 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406077771
 8444400602351 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA VIII ;QUADRA 111, N. SN, CS 01 RUA 142 LT 17 ;60.877,35;118.000,00;48.41;Casa, 58.91 de área total, 0.00 de área privativa, 168.75 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444400602351
 8444421779056 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA X ;QUADRA 484, N. SN, QD 484 LT 19 CS 02 R 342 ;63.456,90;123.000,00;48.41;Casa, 0.00 de área total, 74.47 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421779056
 8787702120131 ;GO ;LUZIANIA ;CENTRO ;RUA RAQUEL PIMENTEL, N. SN, Apto 403, BL F ;62.425,08;121.000,00;48.41;Apartamento, 0.00 de área total, 46.23 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702120131
 8787706750075 ;GO ;LUZIANIA ;CENTRO ;QUADRA 11, N. SN, Apto 401, QD 11 LT 01 BL B RUA RP3 ;60.877,35;118.000,00;48.41;Apartamento, 0.00 de área total, 46.23 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706750075
 8444420143247 ;GO ;LUZIANIA ;PARQUE ESTRELA DALVA IX ;RUA 264, N. SN, CS 01 LT 03 QD 195 ;60.361,44;117.000,00;48.41;Casa, 0.00 de área total, 62.84 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420143247
 8444426081383 ;GO ;LUZIANIA ;PARQUE ALVORADA II ;AVENIDA XI, N. SN, QD 217 LT 03 CS 02 ;60.877,35;118.000,00;48.41;Casa, 0.00 de área total, 58.00 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444426081383
